architecture,day,krs,length,surface
Brassica_oleracea_Vansteenkiste_2014,30,0.04961305641976968,5258.566112219917,556.232875927324
Brassica_oleracea_Vansteenkiste_2014,31,0.05195313314036196,5698.123361499357,595.7247435377369
Brassica_oleracea_Vansteenkiste_2014,32,0.05428888111073808,6151.676874677183,636.0605628497492
Brassica_oleracea_Vansteenkiste_2014,33,0.05658453766437627,6619.465815883319,677.2510866423992
Brassica_oleracea_Vansteenkiste_2014,34,0.05876335667576133,7099.682914351168,719.2043924750621
Brassica_oleracea_Vansteenkiste_2014,35,0.06084823848142497,7593.356382425804,761.9704786212119
Brassica_oleracea_Vansteenkiste_2014,36,0.0629455275158229,8096.341579415771,805.2487054667979
Brassica_oleracea_Vansteenkiste_2014,37,0.06510519178015788,8608.966851860567,849.10125220211
Brassica_oleracea_Vansteenkiste_2014,38,0.06723888812026463,9130.160521567894,893.4133939018539
Brassica_oleracea_Vansteenkiste_2014,39,0.0693116176523943,9659.792227877682,938.1739572862568
Brassica_oleracea_Vansteenkiste_2014,40,0.07143011452692825,10193.295412682513,983.0371383497924
Brassica_oleracea_Vansteenkiste_2014,41,0.07356751505345396,10733.235479041032,1028.2441834943181
Brassica_oleracea_Vansteenkiste_2014,42,0.07567881876786867,11277.710071882519,1073.6893114572554
Brassica_oleracea_Vansteenkiste_2014,43,0.07773532886475193,11826.3437198758,1119.407984430518
Brassica_oleracea_Vansteenkiste_2014,44,0.07981015572820127,12378.013979955473,1165.2743009899225
Brassica_oleracea_Vansteenkiste_2014,45,0.0818195687103996,12931.176924948606,1211.1831318831073
Brassica_oleracea_Vansteenkiste_2014,46,0.0837295176711294,13490.153141482844,1257.4484226515517
Brassica_oleracea_Vansteenkiste_2014,47,0.0855456456538208,14053.198597171187,1303.939546496591
Brassica_oleracea_Vansteenkiste_2014,48,0.08726288585262774,14619.291530208777,1350.5393242115888
Brassica_oleracea_Vansteenkiste_2014,49,0.08893892798313185,15187.70388789002,1397.176477192332
Brassica_oleracea_Vansteenkiste_2014,50,0.09055144815343703,15758.756604994993,1444.0234729170588
Brassica_oleracea_Vansteenkiste_2014,51,0.09208208317257091,16334.48481045422,1491.1742531070352
Brassica_oleracea_Vansteenkiste_2014,52,0.09356361045306152,16911.66146815796,1538.3489820974314
